description,mid,score,topicality
Handwriting,/m/0gkxy13,0.9400733,0.9400733
Motor vehicle,/m/012f08,0.9261473,0.9261473
Natural environment,/m/02py09,0.8882986,0.8882986
Font,/m/03gq5hm,0.85204935,0.85204935
Tree,/m/07j7r,0.84876525,0.84876525
Wall,/m/09qqq,0.8181891,0.8181891
Graffiti,/m/034wh,0.7951837,0.7951837
Gas,/m/037xy,0.78096974,0.78096974
People,/m/09g5pq,0.7802807,0.7802807
Grass,/m/08t9c_,0.7408691,0.7408691
Signage,/m/0bkqqh,0.7341875,0.7341875
Event,/m/081pkj,0.6779632,0.6779632
Automotive tire,/m/0h8pb3l,0.6750893,0.6750893
Sign,/m/06zsq,0.66084725,0.66084725
Metal,/m/04t7l,0.6510491,0.6510491
Wood,/m/083vt,0.64046824,0.64046824
Public event,/g/116c3n66l,0.6315164,0.6315164
Number,/m/05fwb,0.5722849,0.5722849
Street,/m/01c8br,0.5665667,0.5665667
Art,/m/0jjw,0.54541343,0.54541343
Concrete,/m/01mxf,0.5439671,0.5439671
Automotive wheel system,/m/0h8ly30,0.539632,0.539632
Transport,/m/07bsy,0.537083,0.537083
Automotive exterior,/m/0h8ls87,0.5158217,0.5158217
Landscape,/m/025s3q0,0.5009417,0.5009417